gcid	日本語名
satellite_communication_service	Satellite communication service
saturn_dealer	サターン販売店
sauna	サウナ
school	学校
school_for_the_deaf	ろう学校
shopping_center	ショッピング モール
shrimp_farm	エビ養殖場
singing_telegram_service	歌う電報サービス
soccer_practice	サッカー場
sokol_house	Sokol house
southern_us_restaurant	アメリカ南部料理店
state_department_for_social_development	State Department for Social Development
state_department_of_transportation	State Department of Transportation
state_dept_of_sports	State Dept of Sports
stationery_wholesaler	Stationery wholesaler
steel_construction_company	Steel construction company
steel_erector	Steel erector
steel_framework_contractor	Steel framework contractor
steelwork_design_company	Steelwork design company
stereo_rental_store	オーディオ機器レンタル サービス
stereo_repair_service	オーディオ機器修理業
stock_exchange_building	Stock exchange building
store	店舗
stove_builder	Stove builder
supermarket	スーパーマーケット
tabascan_restaurant	Tabascan restaurant
takoyaki_stand	たこ焼き屋
tanning_studio	日焼けサロン
telemarketing_service	テレマーケティング業
teppan_grill_restaurant	鉄板焼き店
tobacco_shop	たばこ店
tonkatsu_restaurant	とんかつ店
toy_library	おもちゃ図書館
toy_museum	おもちゃ博物館
toy_store	おもちゃ店
udon_noodle_shop	うどん屋
ukrainian_restaurant	ウクライナ料理店
unagi_restaurant	うなぎ料理店
urology_clinic	Urology clinic
uruguayan_restaurant	ウルグアイ料理店
used_store_fixture_supplier	Used store fixture supplier
uzbek_restaurant	ウズベキスタン料理店
vegetable_wholesaler	Vegetable wholesaler
ventilating_equipment_manufacturer	Ventilating equipment manufacturer
visa_consultant	Visa consultant
volleyball_instructor	Volleyball instructor
water_park	ウォーター パーク
water_pump_supplier	Water pump supplier
water_purification_company	Water purification company
website_designer	ウェブ デザイナー
wedding_store	ウェディング専門店
wellness_center	ウェルネス センター
wellness_program	ウェルネス プログラム
welsh_restaurant	ウェールズ料理店
wesleyan_church	ウェスレアン教会
wig_shop	かつら専門店
wind_turbine_builder	Wind turbine builder
yakitori_restaurant	焼き鳥店
yoga_instructor	Yoga instructor
youth_care	Youth care
youth_clothing_store	若者向け衣料品店
